"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"VTCN1","0.871277253083943","0.00293078650138938","0.108631780182585","4.85503348961706","5.04873482373967","4.60446448351359","5.42315081719335","5.59364821883325","4.92167178662936","4.23305125208295","0.0473365167708855","0.0746906506410535","0.0306064782990163","0.156577445115973","0.211474025699704","0.071631612570274","0.0229276694389873",0.981037889238006,1,0.999963831301336,1,0.999904061893522,1
"TBX15","0.897851221383716","0.615660602948643","0.0872413427967813","0.393912990890637","6.21379482255308","0.254364060511343","1.31637106348394","5.78674779411607","0.2776391903991","0.905024015156157","0.127691812426655","0.17943655110041","0.134113220201473","0.129104045577478","0.917299991856268","0.119527270947896","0.128667393095968",0.983951640603402,1,0.999963831301336,1,0.999904061893522,1
"WARS2-IT1","0.97158158314902","0.280485833373882","0.270101553116491","4.76097988654169","4.77459670832402","4.73624862344061","4.99106109120562","5.34274334129051","4.69366600120261","4.93673525248014","0.167810318317875","0.146134273186626","0.139920567965836","0.273845806358972","0.429263465780471","0.206097440453116","0.0955216131618762",0.992662325129618,1,0.999963831301336,1,0.999904061893522,1
"HSD3B1","0.984820420533819","0.443495480077628","0.588349278727514","4.67398016152945","4.57405486507053","4.62177981028584","4.85956244216588","5.30354273313463","4.52290296032961","4.7314250402242","0.364957453481328","0.373650966159756","0.307829905538513","0.577616169712871","1.0362027107843","0.400853683725655","0.250576210766664",0.996128160850389,1,0.999963831301336,1,0.999904061893522,1
"FCGR1B","0.539424343182248","0.978430750225439","0.647866288209683","1.0121796636332","5.90229807849086","0.832551703530914","1.00645444117085","2.143499966492","0.935279091958091","0.472640709274415","0.236363004611527","0.424937888487514","0.207266200627176","0.241631617712407","1.10150974038489","0.232443078625022","0.195290105372251",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"SRGAP2-AS1","0.786626066259789","0.227294952580963","0.516731899756679","4.71438154250269","5.06633960297911","4.67141712633178","5.13676671377754","5.51116793347898","4.67635048732574","4.77403123237378","1.72175818842377","1.69453939772848","1.40255961094523","2.90654147264667","2.85599007095038","2.01719460146859","1.11734355748693",0.975369035437816,1,0.999963831301336,1,0.999904061893522,1
"FP700111.1","0.669508701312758","0.734141004111696","0.0824606158453483","5.53052011170684","4.99028591243345","5.46678335206205","5.61158414195887","5.92284220382719","5.62013722952506","5.45038873850709","0.858414919656663","0.340535842319095","0.876461137177507","0.47605039849312","0.126072841664164","0.324929820010349","1.40537822855478",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"FAM72D","0.274877758275906","0.623525475141128","0.376625748214865","4.76189498435411","0.0182022598923401","4.87459796504853","5.16964734589904","2.09589076908352","4.88179157436045","5.11928759116565","0.040517078831096","0.0291680105999855","0.0259020286539325","0.0611815004955615","0.00422373094343996","0.0560612879329633","0.003068552971987",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"PDZK1","0.548971451105181","0.975127525327395","0.38344816254007","4.8067658399095","4.31478462093405","4.80817998186748","4.82932744225388","5.49932762464316","4.66790144015163","4.92071798464526","2.50855104671716","1.05762276136985","2.21024442859295","2.44455073730933","4.35520382988738","2.64669720163999","1.64022175090884",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"CD160","0.428749460665759","0.773977977231044","0.261269978914256","4.75647726997516","3.18100584320401","4.69457598045723","4.99438752943095","5.4981777755219","4.48087598817042","5.21325009165146","0.398211513478457","0.1963170567909","0.314075272099806","0.462647800501023","0.851099088277107","0.431326139616544","0.227284719158103",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
