GENE_SYMBOLS,refseq_ids
CHRM1,NM_000738
SRXN1,NM_080725
ACLY,NM_001096
BAP1,NM_001410772
SCRN1,NM_001145513
SLC48A1,NM_017842
NDFIP1,NM_030571
RLIM,NM_016120
PCSK1N,NM_013271
VWA8,NM_001009814
WDR83OS,NM_016145
PREPL,NM_001042385
STXBP1,NM_001032221
MADD,NM_001135943
PMEPA1,NM_001255976
TAF6,NM_001190415
TMEM117,NM_001286211
RPAP2,NM_024813
TOMM70,NM_014820
TSR2,NM_001346789
TTLL11,NM_001139442
WDPCP,NM_001042692
BAIAP2-DT,NM_001004336
SCN3B,NM_001040151
TOX2,NM_001098796
PDP1,NM_001161778
BNIP3,NM_004052
C9orf16,NA
EHD3,NM_014600
MARCKS,NM_002356
NHP2,NM_001034833
SLITRK1,NM_001281503
RALGAPA2,NM_020343
UBE2N,NM_003348
GIT2,NM_001135213
USP49,NM_001286554
ANKIB1,NM_019004
KLHL21,NM_001324309
CYCS,NM_018947
ANAPC10,NM_001256706
STARD9,NM_020759
GOT1,NM_002079
JUN,NM_002228
MRPS17,NM_015969
LRRFIP1,NM_001137550
TOR1A,NM_000113
AARS,NA
SERF2,NM_001018108
ATP6V0B,NM_001039457
ARF6,NM_001663
NEBL,NM_001010896
TANGO6,NM_024562
KIZ,NM_001163022
QDPR,NM_000320
ITPKA,NM_002220
PAFAH1B2,NM_001184746
PMM2,NM_000303
HEY1,NM_001040708
TMBIM6,NM_001098576
NRF1,NM_001040110
GNG10,NM_001017998
YIPF5,NM_001024947
ENTPD6,NM_001114089
MYO6,NM_001300899
CHMP1A,NM_001083314
PEG13,NR_144431
DNAJB9,NM_012328
TM2D3,NM_001307960
BSCL2,NM_001122955
MAST3,NM_001393501
ELOC,NM_001204857
ZFAND5,NM_001102420
SLBP,NM_001306074
DOP1B,NM_001320714
CAND1,NM_001329674
ARMH3,NM_024541
ERLEC1,NM_001127397
BOD1,NM_001159651
PHAX,NM_032177
PACSIN1,NM_001199583
TMEM132A,NM_017870
SMIM15,NM_001048249
HNRNPA3,NM_001330247
CEBPA,NM_001285829
CRTC3,NM_001042574
CAP1,NM_001105530
ACAD11,NM_032169
BSN,NM_003458
NEIL2,NM_001135746
ACYP2,NM_001320586
TXN2,NM_012473
PPP1R12B,NM_001167857
MCFD2,NM_001171506
LAMA3,NM_000227
MEAF6,NM_001270875
CDK8,NM_001260
GRSF1,NM_001098477
GOLGA4,NM_001172713
PPM1H,NM_020700
TNFAIP8L1,NM_001167942
TUFM,NM_001365360
SCAMP1,NM_001290229
MDH2,NM_001282403
NUCKS1,NM_022731
HSDL1,NM_001146051
RNF167,NM_001320356
VPS54,NM_001005739
LIN7C,NM_018362
AZIN1,NM_001301668
TMSB4X,NM_021109
NUDT4,NM_001301022
ACBD6,NM_032360
ADH5,NM_000671
ARFIP2,NM_001242854
