GENE_SYMBOLS,refseq_ids
APLP1,NM_001024807
PCDH8,NM_002590
IRF2BP1,NM_015649
PAFAH1B2,NM_001184746
RPLP0,NM_001002
ANKRD34A,NM_001039888
GPS1,NM_001321089
NUDC,NM_006600
TMEM35A,NM_021637
NUDT16,NM_001171905
VMA21,NM_001017980
RAB5IF,NM_001199534
FBXO45,NM_001105573
CCDC115,NM_001321118
ZPR1,NM_001317086
SBDS,NM_016038
SMIM13,NM_001135575
EEF1A2,NM_001958
TENM4,NM_001098816
PIR,NM_001018109
GAPDH,NM_001256799
IDH3B,NM_001258384
POP7,NM_005837
UBQLN2,NM_013444
UBE2Q1,NM_017582
HCFC1,NM_001410705
SLC26A4-AS1,NR_028137
SERF2,NM_001018108
DDX54,NM_001111322
PTPA,NM_001193397
OPRL1,NM_000913
B4GALNT1,NM_001276468
LMAN2,NM_006816
PYGO2,NM_138300
DRAP1,NM_006442
TOMM6,NM_001134493
SLC25A22,NM_001191060
AMER2,NM_152704
CCDC106,NM_001370467
BMI1,NM_005180
GPR12,NM_005288
CANT1,NM_001159772
NPM1,NM_001037738
DNAJA2,NM_005880
RTL10,NM_024627
HOPX,NM_001145459
SRPRA,NM_001177842
ACLY,NM_001096
MFSD5,NM_001170790
TRIR,NM_001329738
AUXG01000058.1,NA
ATP1B1,NM_001001787
SV2A,NM_001278719
MZT1,NM_001071775
C9orf78,NM_016520
MRPS17,NM_015969
KBTBD4,NM_001318716
PPP2CA,NM_001355019
BUB3,NM_001007793
MLF2,NM_001382225
YPEL5,NM_001127399
BSCL2,NM_001122955
VPS18,NM_020857
HERPUD1,NM_001010989
SLBP,NM_001306074
SLC39A3,NM_144564
POLR2E,NM_001316323
PPP1R11,NM_021959
CSTF2T,NM_015235
RHBDD2,NM_001040456
SPCS1,NM_014041
ZNF487,NM_001355444
NOP53,NM_015710
ITPKA,NM_002220
TIMM13,NM_012458
SLC39A7,NM_001077516
LSM4,NM_001252129
FUT1,NM_000148
SMPD1,NM_000543
FRMD6,NM_001042481
NRN1,NM_001278710
MLLT11,NM_006818
RASL10A,NM_001007279
ERH,NM_004450
MPI,NM_001289155
MARCKS,NM_002356
GIT1,NM_001085454
RNF167,NM_001320356
ITM2B,NM_021999
GNB2,NM_005273
SSR2,NM_003145
RPRML,NM_203400
C18orf32,NM_001035005
CBX4,NM_003655
AIP,NM_001302959
PHF23,NM_001284517
DISP1,NM_001350630
ADCK2,NM_052853
PGAM5,NM_001170543
GRPEL1,NM_025196
NPTX1,NM_002522
TMEM250,NM_001256526
TAF6,NM_001190415
HYOU1,NM_001130991
SNX12,NM_001256185
MORF4L1,NM_001265603
MIR31HG,NR_027054
KLF16,NM_031918
GET3,NM_001371488
WDR82,NM_025222
LRRC14,NM_001272036
CHGB,NM_001819
RNF11,NM_014372
FN3KRP,NM_024619
LSM14B,NM_014054
PEG13,NR_144431
SPRN,NM_001012508
HNRNPA1,NM_002136
SLC25A11,NM_001165417
DLC1,NM_001164271
STOML2,NM_001287031
RRAGC,NM_001271851
TSPYL5,NM_033512
PCBP1,NM_006196
TSC22D3,NM_001015881
INAFM2,NM_001301268
CCK,NM_000729
CISD3,NM_001136498
DLG4,NM_001128827
PRPS1,NM_001204402
KCTD12,NM_138444
SGTA,NM_003021
RTL8C,NM_001078171
ZMYND19,NM_138462
JUN,NM_002228
ANO6,NM_001025356
PMEPA1,NM_001255976
SUGCT,NM_001193311
EFNB3,NM_001406
ARF6,NM_001663
HNRNPAB,NM_004499
EIF6,NM_001267810
MAMDC2,NM_001347990
SLC8A3,NM_001130417
EIF1B,NM_005875
DBNDD1,NM_001042610
UBQLN4,NM_001304342
SRRD,NM_001013694
ARL4C,NM_001282431
FKBP1B,NM_001322963
GNG10,NM_001017998
CRIP2,NM_001270837
HTR5A,NM_024012
BTF3,NM_001037637
FAAH2,NM_001353840
ZBTB18,NM_001278196
KBTBD7,NM_032138
LAMP5,NM_001199897
DDA1,NM_024050
GRWD1,NM_031485
TMEM115,NM_007024
ARPC4,NM_001024959
NUDT3,NM_006703
SLC1A6,NM_001272087
SRXN1,NM_080725
CYCS,NM_018947
CLIP3,NM_001199570
ELK1,NM_001114123
PLEKHJ1,NM_001300836
LAMTOR5,NM_001382293
H1F0,NA
ANKRD40,NM_052855
LYNX1,NM_001356370
NUDT4,NM_001301022
HEXIM1,NM_006460
SNAPC5,NM_001329613
KCNS1,NM_001322799
TUSC1,NM_001004125
JAKMIP1,NM_001099433
DOHH,NM_001145165
PSMC5,NM_001199163
B3GALT6,NM_080605
TMEM121,NM_001331238
CHRNB2,NM_000748
RPL18,NM_000979
PPP1R1B,NM_001242464
FEN1,NM_004111
RPL8,NM_000973
DUBR,NR_028301
DNAJA1,NM_001314039
PNRC1,NM_006813
ATP6V1F,NM_001198909
SYNPO,NM_001109974
FURIN,NM_001289823
XYLT1,NM_022166
PRR13,NM_001005354
ACTB,NM_001101
H2AFX,NA
MAGEH1,NM_014061
FBXL15,NM_001387294
ZXDB,NM_007157
ATP5F1B,NM_001686
MAP1S,NM_001308363
BSG,NM_001322243
ARFIP2,NM_001242854
LDHA,NM_001135239
DNAJB9,NM_012328
SNRNP25,NM_024571
ISCU,NM_001301140
SRP14,NM_001309434
MRPS34,NM_001300900
RIC8A,NM_001286134
RPL28,NM_000991
ETV1,NM_001163147
CCDC127,NM_145265
SLC30A1,NM_021194
KLF3-AS1,NM_024614
CTXN1,NM_206833
GABARAPL2,NM_007285
TMSB4X,NM_021109
MESP1,NM_018670
HSP90AB1,NM_001271969
DNAH14,NM_001145154
TCEAL7,NM_001348258
THAP7,NM_001008695
MAGEF1,NM_022149
SLC9A9,NM_173653
PPP2R1A,NM_001363656
SPRY4,NM_001127496
NDN,NM_002487
THAP11,NM_020457
KCNF1,NM_002236
MEA1,NM_001318942
RNF5,NM_006913
SF3A1,NM_001005409
MRPS12,NM_021107
TRAPPC2L,NM_001318524
SLC8A2,NM_015063
