GENE_SYMBOLS,refseq_ids
ZNF593,NM_015871
NDUFA12,NM_001258338
OSER1-DT,NR_038337
MYL12B,NM_001144944
TMEM126B,NM_001193537
RRAS,NM_006270
MISP3,NM_001291291
CXorf40B,NA
ZNF503-AS2,NR_024421
ATP5MC3,NM_001002256
POP5,NM_015918
DNAJC8,NM_014280
XBP1,NM_001079539
ANKRD33B,NM_001164440
LAMTOR1,NM_017907
C16orf91,NA
TM2D2,NM_001024380
TNFRSF10B,NM_003842
COQ10A,NM_001099337
PPP1R36,NM_172365
RSPH10B2,NM_001099697
SNX15,NM_013306
CHMP2A,NM_014453
RPL10A,NM_007104
PGBD5,NM_001258311
C17orf49,NM_001142798
TDG,NM_001008411
ASNSD1,NM_001353497
CRH,NM_000756
RPS6,NM_001010
PRR4,NM_001098538
MED31,NM_016060
MRPL20,NM_001318485
SARS,NA
STK16,NM_001008910
HOPX,NM_001145459
ATP6V1F,NM_001198909
EIF2S1,NM_004094
MED29,NM_001317770
MRPL33,NM_004891
MRPL43,NM_001308396
CNTN5,NM_001243270
NDUFB11,NM_001135998
SPCS2,NM_014752
MRPL50,NM_019051
NSG1,NM_001040101
AF106564.1,NA
RPL6,NM_000970
CHGB,NM_001819
RASL10B,NM_033315
NSDHL,NM_001129765
EPB41L4A-AS1,NM_053000
GOT1,NM_002079
HPF1,NM_017867
PTRHD1,NM_001013663
BDNF-AS,NR_002832
C1orf43,NM_001098616
POLR3H,NM_001018050
ENPP6,NM_153343
NDUFAB1,NM_005003
UBE2V2,NM_003350
RNF113A,NM_006978
TMEM59,NM_001305043
NSA2,NM_001271665
VEGFB,NM_001243733
STX4,NM_001272095
OXLD1,NM_001039842
ZNF428,NM_182498
ATP6V1G2,NM_001204078
HAR1A,NR_003244
BAD,NM_004322
GAS6-DT,NR_044993
PIGM,NM_145167
CHRNA2,NM_000742
WBP2,NM_001330499
NDUFA11,NM_001193375
ATP6V1G1,NM_004888
IER3IP1,NM_016097
HINT1,NM_005340
CUEDC2,NM_024040
NEFL,NM_006158
FBXL15,NM_001387294
TPRG1L,NM_182752
CHP1,NM_007236
H3F3B,NA
ARL16,NM_001040025
SNRPB2,NM_003092
TMEM14C,NM_001165258
RANBP10,NM_001320238
HDDC2,NM_016063
MAS1,NM_001366704
MIR497HG,NR_038310
ZNF140,NM_001300776
CDV3,NM_001134422
C6orf47,NM_021184
SMIM38,NM_001369201
EMC9,NM_001346874
ATP5PD,NM_001003785
MAGED2,NM_014599
FUNDC2,NM_023934
FMC1,NM_197964
PAK1,NM_001128620
CHCHD5,NM_001304353
GAP43,NM_001130064
CAB39L,NM_001079670
Z95115.1,NA
BRI3,NM_001159491
POM121,NM_001257190
NUDT14,NM_001318380
LRRN1,NM_001324188
GNA12,NM_001282440
APLNR,NM_005161
UBA52,NM_001033930
HOMER1,NM_001277077
ADAM20,NM_003814
SRP14,NM_001309434
CIART,NM_001300838
CCDC115,NM_001321118
KRT10,NM_000421
SPIN2B,NM_001006681
MANF,NM_006010
EIF4H,NM_022170
DPM3,NM_018973
LYRM2,NM_020466
TSNAX,NM_005999
PDCD5,NM_004708
SNU13,NM_001003796
RAB33A,NM_004794
RPA2,NM_001286076
TCEAL6,NM_001006938
PSMD8,NM_002812
DBI,NM_001079862
SLC15A4,NM_145648
ASPHD2,NM_020437
PCDHGA11,NM_018914
OSBPL5,NM_001144063
TPT1,NM_001286272
CD59,NM_000611
BOLA2B,NM_001039182
COMMD8,NM_001329668
LATS1,NM_001270519
FBXO48,NM_001024680
SERBP1,NM_001018067
RPL13A,NM_001270491
COPS6,NM_006833
GRPEL2,NM_152407
MED7,NM_001100816
ATP6V1D,NM_015994
TRAPPC1,NM_001166621
POLD2,NM_001127218
MYO1E,NM_004998
TACO1,NM_016360
RPL5,NM_000969
RNASEL,NM_021133
