GENE_SYMBOLS,refseq_ids
MRPS11,NM_001321970
MESP1,NM_018670
HDDC3,NM_001286451
WASIR2,NR_130735
POLR3K,NM_016310
SNRNP25,NM_024571
HBQ1,NM_005331
STUB1,NM_001293197
ANTKMT,NM_001271285
TSR3,NM_001001410
C16orf91,NA
MRPS34,NM_001300900
NUBP2,NM_001284501
MSRB1,NM_001382264
NDUFB10,NM_004548
RPS2,NM_002952
ELOB,NM_007108
PAM16,NM_016069
HMOX2,NM_001127204
DEXI,NM_014015
SNN,NM_003498
RPS15A,NM_001019
NPIPB3,NM_130464
NDUFAB1,NM_005003
CDIPT,NM_001286585
SEZ6L2,NM_001114099
TMEM219,NM_001083613
BOLA2B,NM_001039182
DCTPP1,NM_024096
SEPHS2,NM_012248
STX4,NM_001272095
PYDC1,NM_152901
MT3,NM_005954
FAM192A,NA
CIAO2B,NM_016062
TMEM208,NM_001318217
PARD6A,NM_001037281
PSMB10,NM_002801
AARS,NA
PSMD7,NM_002811
GABARAPL2,NM_007285
HSBP1,NM_001537
GSE1,NM_001134473
COX4I1,NM_001318786
MAP1LC3B,NM_022818
APRT,NM_000485
TRAPPC2L,NM_001318524
RPL13,NM_000977
CENPBD1,NA
MRM3,NM_001317947
RILP,NM_031430
SMG6,NM_001170957
EMC6,NM_001014764
ITGAE,NM_002208
PSMB6,NM_001270481
SPAG7,NM_004890
RPAIN,NM_001033002
TXNDC17,NM_032731
MED31,NM_016060
RNASEK,NM_001004333
C17orf49,NM_001142798
MIR497HG,NR_038310
GABARAP,NM_007278
GPS2,NM_004489
TMEM256,NM_152766
NAA38,NM_001320924
TRAPPC1,NM_001166621
VAMP2,NM_001330125
RPL26,NM_000987
SNHG29,NM_152350
TMEM11,NM_003876
SDF2,NM_006923
RPL23A,NM_000984
ZNHIT3,NM_001033577
CISD3,NM_001136498
RPL23,NM_000978
RPL19,NM_000981
MIEN1,NM_001330206
RARA-AS1,NR_110861
KRT222,NM_152349
KRT10,NM_000421
EIF1,NM_005801
NT5C3B,NM_052935
VPS25,NM_032353
COA3,NM_001040431
RPL27,NM_000988
RND2,NM_005440
DHX8,NM_001302623
CCDC43,NM_001099225
HEXIM2,NM_001303436
RPRML,NM_203400
ATP5MC1,NM_001002027
PHB,NA
SLC35B1,NM_001278784
MRPL27,NM_016504
NME1,NM_000269
NME2,NM_001018137
COX11,NM_001162861
MRPS23,NM_016070
SUPT4H1,NM_003168
CLTC,NM_001288653
TACO1,NM_016360
PSMC5,NM_001199163
PRKAR1A,NM_001276289
RPL38,NM_000999
ATP5PD,NM_001003785
JPT1,NM_001002032
SUMO2,NM_001005849
MRPS7,NM_015971
H3F3B,NA
WBP2,NM_001330499
METTL23,NM_001080510
NDUFAF8,NM_001086521
ACTG1,NM_001199954
PDE6G,NM_001365724
OXLD1,NM_001039842
CCDC137,NM_199287
ARL16,NM_001040025
MCRIP1,NM_001093767
