"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"MAN2B1","O00754","0.0925939822706762","550.669711218911","579.203894881777",0.320989670696568,1
"ECHDC2","Q86YB7","0.947967332689548","496.716526017675","497.069348946028",0.981861335020339,1
"TXNL4A","P83876","0.473205295324662","2320.28911290828","2288.76877160309",0.711629364447057,1
"GPN1","Q9HCN4","0.55202237728489","717.159922170268","726.430673521485",0.770142720591854,1
"SLC43A2","Q8N370","0.193631958502741","4021.06447288471","3959.66342514074",0.456147158197292,1
"PRPF39","Q86UA1","0.141206820934022","402.615487252573","390.593657203948",0.390718873505116,1
"AFF4","Q9UHB7","0.00242139834043108","334.110614675418","377.66869193757",0.0587113009655521,1
"CEP68","Q76N32","0.227899870816462","3971.25725631297","4070.21082443924",0.487358946513365,1
"STK38","Q15208","0.6028614249636","301.899472072435","306.196642727313",0.805257978575311,1
"FAR1","Q8WVX9","0.862565046493015","841.660817237878","845.746378412175",0.947039942854632,1
"DUS2","Q9NX74","0.85366002689342","382.614350205082","384.446335741723",0.942535557929295,1
"VASN","Q6EMK4","0.835556466698432","1142.62303574735","1137.33549475903",0.934455163987627,1
"SRSF5","Q13243","0.648075298126562","5488.8745766051","5423.32296279357",0.832900620136874,1
"DNAJC9","Q8WXX5","0.86254750783408","787.469848922509","792.092456172929",0.947039942854632,1
"LSP1","P33241","0.490462535074731","450.588248565919","465.906461673367",0.725784831798407,1
"LRATD2","Q96KN1","0.0361670303610535","604.535635386519","645.106394935123",0.209359596913353,1
"GOLGA7","Q7Z5G4","0.550698579915921","6693.30402581614","6621.87061773502",0.769767235844513,1
"KCNJ3","P48549","0.532663535550079","1431.79491867225","1448.22264744331",0.757150648472845,1
"AAAS","Q9NRG9","0.0631372330473405","832.640641723592","853.902234033945",0.271343502416608,1
"TBC1D25","Q3MII6","0.726388135039773","461.889260238887","465.371478658599",0.878637289040369,1
"DDX28","Q9NUL7","0.479007757589799","674.719591736678","685.051932890867",0.715535579775701,1
"SNX11","Q9Y5W9","0.126469183734242","1340.6633651805","1313.04646970811",0.371935773480509,1
"RPS28","P62857","0.621894765227591","9473.39212817422","9417.21211987183",0.81726970997114,1
"HM13","Q8TCT9","0.210020040070939","5812.7631207286","5723.66677152607",0.470363024681662,1
"KPNA2","P52292","0.0351776433432329","714.114254563267","737.205196443481",0.206675266980468,1
"HDDC3","Q8N4P3","0.555892254914755","4293.8282454051","4335.12727164196",0.773045395960829,1
"ZNF318","Q5VUA4","0.308760437594008","335.667343928577","347.259201811047",0.569644436665697,1
"COMMD5","Q9GZQ3","0.815327457068815","4092.13255205585","4096.54058549089",0.925340413875922,1
