"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"CKB","P12277","2.24694579780203","1402.32100705922","0.878690582486021","0.00383433119166841","1093.79374581056","-877.564498179635",0.945091288581661,1
"ALDOA","P04075","6.13593232895797","3939.78721129479","0.521279986622748","0.00956561938611714","-578.051081023881","3897.15026885147",0.769908439480415,1
"PI4KA","P42356","4.07794208064273","385.199559065601","0.800483757535305","0.00406508277455739","-310.239593884042","-228.320158310645",0.908625810775839,1
"HSPH1","Q92598","1.93601111806221","4003.22743222927","0.0296356666385996","0.0330964600015164","3739.20285372106","-1429.75238865939",0.209378932291155,1
"HK1","P19367","3.49042756651463","732.22704087469","0.953500892799517","0.0022177569098423","-250.277490024124","-688.1261638503",0.979124519985655,1
"GDI1","P31150","6.2427509883049","1150.10410296465","0.844385012011798","0.00487180541319932","-46.4910053329002","1149.16405881809",0.929168354296605,1
"HSP90AB1","P08238","2.29949365166474","10441.4281032289","0.0224600461689587","0.0343496270564868","7789.74896199542","-6952.92973817433",0.186506695817474,1
"ATP2B1","P20020","2.63809254761212","696.363034550791","0.631557287083501","0.00671934135495213","335.991144517572","-609.943789782762",0.828991876578276,1
"CKAP5","Q14008","0.589695275390045","747.971654888638","0.248359722060202","0.00795092492204515","415.952863243271","621.646854795046",0.568115593729045,1
"TUBA1C","Q9BQE3","2.44204189002561","150.037612094986","0.559609287013431","0.026517556064706","96.6053215408518","-114.798505622478",0.791834596304698,1
"CTNNA2","P26232","2.6489041268548","495.941319681103","0.68054810708255","0.00502867503390416","234.578438938417","-436.956231849655",0.857295326252305,1
"NRCAM","Q92823","4.44917216132009","1588.49325264598","0.184839482490124","0.0139932514257872","-1533.78236466941","-413.306752341312",0.503955239420038,1
"HTT","P42858","2.47096641248078","79.2422204903338","0.954864351309972","0.00193196448017134","49.2471957976828","-62.0809408297214",0.979688818426487,1
"CADPS","Q9ULU8","4.44448845351231","678.079303957061","0.661703811868647","0.0066822548142999","-653.891379377776","-179.492636145114",0.847155601972729,1
"PFKP","Q01813","4.49323476995802","1389.08229521356","0.567030289828515","0.0112561768901051","-1355.85777563272","-301.992243496524",0.793920105188577,1
"ALB","P02768","3.16008689147119","11965.7245705852","0.607408154229342","0.038064938189617","-221.284341562296","-11963.6782696329",0.814113051941727,1
"BASP1","P80723","5.22530395800247","3573.3145730585","0.710817056491462","0.0104564523286194","-3113.49250681427","1753.49406843698",0.869085351185148,1
"ATP6V1B2","P21281","4.59548956050828","1734.72461324447","0.17285288643492","0.0115711886765029","-1722.8851877072","-202.326750024048",0.491381631716912,1
"NBEA","Q8NFP9","4.53733198649368","573.857149840269","0.0177539276064191","0.0129580956005806","-565.086669628256","-99.9454062538257",0.166942467288278,1
"SYNJ1","O43426","4.18609298996648","1101.43724938277","0.541932107379562","0.00766110924612051","-952.383764310609","-553.28941776021",0.781157994293285,1
"NCAM1","P13591","5.92282643448868","1286.42771597807","0.875050839674774","0.00406748143696858","-453.607377780234","1203.80090349688",0.943216967778864,1
"CEP170B","Q9Y4F5","4.66481251242936","572.985097353313","0.112745544338439","0.0118503940929134","-572.336737964424","-27.2503241306839",0.404607287693964,1
"PLCB1","Q9NQ66","4.04235728024634","1798.05279067348","0.25036672362002","0.0154579754489688","-1409.31733773569","-1116.61026307583",0.569886424427611,1
"ENO1","P06733","5.94433898391065","3920.60302049568","0.491976998980003","0.00998046998243812","-1303.20544996871","3697.6727274722",0.750328153950867,1
