"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"SGTA","7.7484458070069e-06","28.8874158018157","26.1658899860179",6.35789675550952e-05,0.108656455551658
"THOP1","0.170602780193748","26.329491249296","25.7409267243343",0.272522712235981,1
"ZNF554","0.00771622227861985","7.76563027811367","7.1784597939283",0.0209374197006746,1
"ZNF555","0.103214246614782","8.75527740999645","9.08984838736109",0.181375110310663,1
"ZNF57","0.843795427598902","3.29215619189421","3.26215629241911",0.89735653581218,1
"ZNF77","0.219289767604248","3.31798627998178","3.16275220570516",0.332120143764377,1
"TLE2","0.0136602931605002","13.3177889545916","14.2779984821144",0.0341641325110923,1
"TLE5","0.0175884025595757","164.131962354125","160.081076311547",0.042400235360655,1
"GNA11","0.189932877417608","27.606400262426","27.2378660147124",0.296760862398565,1
"GNA15","0.779463675787644","2.15509852935249","2.14044725163266",0.851013634815488,1
"NCLN","0.67512871890378","23.2056036320857","23.0891704380251",0.769952018964517,1
"CELF5","0.000835327732386243","141.909142536389","133.297238343301",0.00319874407188757,1
"NFIC","0.00016907367173901","84.102454436627","94.9931717490271",0.000828703285143704,1
"SMIM24","1.08422162220938e-07","2.30244440550312","1.67454408281997",1.98227376900158e-06,0.00152040398082421
"DOHH","0.000691683879011881","14.8206214137534","13.7064013747767",0.00272840591712619,1
"FZR1","0.600433966602353","20.1130571512283","19.8911559814527",0.709760222006642,1
"MFSD12","0.00195819957089531","22.3799164286518","21.217287770332",0.00656305750063693,1
"HMG20B","0.896682029806771","2.14441863919779","2.20847053903665",0.934535273428491,1
"CACTIN","0.821590106184295","7.19210875415127","7.25474457875745",0.880717100250888,1
"PIP5K1C","0.169786452915169","50.2952885817922","49.3092958389353",0.27136031789713,1
"APBA3","0.349405402637335","5.95132065294072","5.71106141474915",0.47565401040514,1
"MRPL54","5.19394257849528e-05","9.30078957946871","7.76537229835545",0.000307817629089761,0.728346567782393
"MATK","0.778478181786294","39.805040366566","39.9817766381745",0.850202456634673,1
"ZFR2","0.109628076453533","53.5352790779198","55.228854901231",0.190332365495592,1
"ATCAY","6.03887486230445e-05","143.240360387162","135.572177192212",0.000351382332755582,0.846831421940953
"DAPK3","0.923301182059587","26.8577410792496","26.7484871669454",0.951793376113866,1
"EEF2","7.70243357739044e-08","94.8730699155461","87.5944749497091",1.50224236517032e-06,0.00108011226055746
"PIAS4","0.730007649768603","19.1763189410411","19.240076291359",0.813743821359707,1
"ZBTB7A","0.29883992208905","125.503489729859","123.274424354846",0.421847415689022,1
"MAP2K2","0.41419276513009","63.58406711566","62.5579159625257",0.540350278669574,1
"SIRT6","0.131663863479074","11.2876171640755","10.8205519649762",0.220614453048997,1
"ANKRD24","1.90405855554041e-05","39.6175172353908","35.9786366444854",0.000132692812329006,0.267006131243432
"YJU2","0.490947293708528","6.3252482582658","6.22747508870494",0.612886486216922,1
"SHD","0.534894123951347","10.3999312721643","10.2033617492853",0.653097109287744,1
"FSD1","0.057715042022675","43.2951499106654","44.7911539498853",0.113036038307817,1
"STAP2","0.0672226649003364","3.6234652634741","3.32710598234795",0.128270979711174,1
"MPND","0.00263189094132167","8.3501104446707","7.6737340515072",0.00841664918361546,1
"SH3GL1","0.218373149662929","40.7024781564009","41.7955611313278",0.331174729460125,1
"CHAF1A","0.136443005997722","8.84895958283268","8.46963431490335",0.227018014033599,1
"UBXN6","0.103052893281748","49.1312109625935","47.8425812220701",0.181138276030493,1
"HDGFL2","0.248273114865352","24.5788698904269","23.6929719990042",0.365831368615116,1
"SEMA6B","0.000499159880492639","51.2225396665373","48.0739982097872",0.00207583600360269,1
"TNFAIP8L1","8.96708916269904e-05","16.5818654200849","15.3564202861645",0.000488901599255554,1
"MYDGF","2.44634910507739e-05","19.7027851263994","17.4173483317398",0.000163047307511883,0.343051535005002
"DPP9","0.32438203387585","19.6765911645887","20.199688868048",0.449487081130538,1
"MIR7-3HG","0.00197915696616688","19.5984632894613","17.3327415194427",0.00662696230576842,1
"FEM1A","0.00360163793205644","12.7620118159298","11.9427703182135",0.0109675936419604,1
"TICAM1","0.377004611240556","5.94539253943458","5.74383096960487",0.503450686927561,1
"KDM4B","0.129274506142797","57.9355944498065","60.4153023893726",0.217364076695497,1
"PTPRS","0.612348749262056","143.81741443996","144.760949870306",0.719447914004772,1
"TINCR","0.676136046143543","4.30608730950884","4.40540428198354",0.770451886889469,1
"SAFB2","0.677164210391943","44.7682449583162","45.1750826768996",0.771207156852612,1
"SAFB","0.680900607504074","54.8386264587548","54.7299630516996",0.774079385409779,1
"RPL36","1.51373714204143e-07","85.5067933829635","75.4025023628469",2.52703999319607e-06,0.0021227135942847
"MICOS13","8.46505027496277e-06","27.5666375375933","23.4630717383793",6.81431687748582e-05,0.118705400005803
"HSD11B1L","0.00212478402433426","35.4165372376562","33.4366367188079",0.00702712864258235,1
"LONP1","0.613379032926937","29.313741636469","29.0045410781025",0.720084904038044,1
"PRR22","0.121301266969339","1.99819916401379","2.19310173354949",0.20686496613478,1
"DUS3L","0.187497356111221","6.57686442517603","6.39615966545473",0.293740970254458,1
"NDUFA11","0.000233688950767293","29.9985390699094","25.5327441317472",0.00109088553815238,1
"CAPS","0.0305742754947332","3.80827259941348","3.40742925146016",0.0672747025948992,1
"RANBP3","0.649165685019615","21.5452949640421","21.2754396587775",0.748868904329554,1
"RFX2","0.01801114603118","18.4902244876653","17.3062327353739",0.043285398593871,1
"MLLT1","3.29170870756967e-08","23.409383345007","21.5432197593421",7.55476779153019e-07,0.000461596312062495
"CLPP","3.34759243457705e-05","11.0965358494139","9.85149789242146",0.000213475619418254,0.46943288710074
"ALKBH7","1.33747438983002e-05","8.23628872650391","6.84884313261419",9.88166668524045e-05,0.187554033685864
"PSPN","0.000133535843915904","3.6975484340425","3.18036749155941",0.000679453243553237,1
"GTF2F1","7.32949519200532e-08","20.9435618109409","18.5279270405355",1.43951696186962e-06,0.00102781511077491
"KHSRP","0.00371429584865077","32.8865101667905","31.1252364942255",0.0112520135419377,1
"SLC25A41","0.0935314822254565","6.64215737754338","6.29560343824077",0.167444538686581,1
"SLC25A23","0.000755439374116461","56.611845491172","52.9729810423417",0.00293368217757827,1
"TUBB4A","0.00145483467995648","174.87904603769","156.848996760749",0.00511691665839722,1
"TNFSF9","0.952772413189254","3.90278711001449","3.85986375211869",0.970418909801925,1
"GPR108","0.342737974793549","9.56106946919082","9.78794487063074",0.468429489031424,1
"ZNF557","0.581485960853298","9.93133905185963","9.70202766606047",0.692852207413187,1
"INSR","0.0501354056030975","77.4814522729697","80.3932722651107",0.100737755089875,1
"ARHGEF18","0.0182207825137103","28.874460376148","30.364365736581",0.0437237069539566,1
"ZNF358","0.938876189301041","14.261687082253","14.5654138539504",0.961994797791064,1
"MCOLN1","0.552105007028652","21.1042160879022","20.583830423128",0.667765797968664,1
"PNPLA6","0.449588514574158","36.3070329903545","36.8408717802662",0.57403075114936,1
"CAMSAP3","0.640533812473986","17.4055460227308","17.4498206754679",0.742269701043113,1
"XAB2","0.104019130222386","7.96248379560896","7.38690909249765",0.18246938492726,1
"PET100","8.4898950960001e-06","23.2427879086129","18.5612579402066",6.83039580787203e-05,0.119053798931209
"STXBP2","0.125037141595069","1.59233711481031","1.73950615763583",0.211941960182238,1
"TRAPPC5","0.000180772641324679","38.9950873343821","33.0252549194567",0.000875638946216226,1
"EVI5L","0.542427247264625","29.4099489021856","30.038311758293",0.659835053957338,1
"PRR36","0.00063661111023694","22.7946005267002","20.3485960897505",0.00254989934271711,1
"MAP2K7","0.586264524051404","27.8104135710624","28.5313170788611",0.697006139955306,1
"TGFBR3L","2.20442333721288e-09","23.1140907723728","18.300878639234",9.00977030209564e-08,3.09126284577362e-05
"SNAPC2","0.00762477431553639","7.04180755419153","6.53514202894875",0.0207656263792517,1
"CTXN1","1.74406133096625e-13","79.9117119206378","62.3164756881891",6.60999244436209e-11,2.44569720441397e-09
"TIMM44","0.0923860138730068","17.9273099243844","16.9736499611674",0.165753463733518,1
"ELAVL1","0.0542744228296066","38.6869147400938","37.9854412333923",0.107498620245702,1
"CERS4","0.163066101491655","48.7424869766652","51.1965986564501",0.262414039616419,1
"CD320","0.260147555045041","10.5703197010953","10.2620823269746",0.37937283323592,1
"NDUFA7","1.1909045896215e-05","20.9665819052186","17.9323350239823",9.01730834787381e-05,0.167000550602623
"RPS28","6.09788931033189e-07","148.215453424459","131.666587912914",7.88844112534909e-06,0.00855107017987841
"RAB11B-AS1","0.522744359049268","1.7826165430695","1.84363952029685",0.642708862113379,1
"RAB11B","0.00997062961231525","41.3148154407407","38.1981223547531",0.0261049550137223,1
"MARCH2","0.430854671006418","31.8058689006155","31.2080000513328",0.555836839848965,1
"HNRNPM","0.66589035595619","62.8577588066786","61.7158947384739",0.762496276175024,1
"ZNF414","0.0298019344494615","6.73931957630533","6.26771145109965",0.065907869781255,1
"MYO1F","0.655961975791082","5.01142112829745","4.79991823535825",0.754660331981159,1
"ADAMTS10","0.0293926527064341","30.149207592709","31.6976897598436",0.0651966417118515,1
"ZNF558","0.48234208746853","7.00357996606543","6.83694741992428",0.605323348180705,1
"ZNF317","0.661713144000204","10.9603197451302","10.9177877997955",0.75957497730482,1
"ZNF699","0.693959148959717","6.29200236999012","6.32528607287867",0.784473127437494,1
"ZNF559","0.403050560996334","23.2317959530472","23.7018177023594",0.529112340090956,1
"ZNF177","0.229104448316846","9.09014356580573","8.74855325303456",0.343791511904455,1
"ZNF266","0.824055014856194","11.2823803023611","11.148043756388",0.881958383399336,1
"ZNF426","0.901001185460674","10.2571133958206","10.2076527350771",0.937017177670946,1
"ZNF121","0.646126025898719","15.1683092908356","14.9983696704095",0.746529229725446,1
"ZNF561","0.425182952135002","9.17643212927107","9.28885964926182",0.550590131848659,1
"ZNF561-AS1","0.677085304212071","7.932873508067","8.07990209406177",0.771207156852612,1
"ZNF562","0.0345478583287854","26.0702638942882","26.7644027299176",0.0743043891632757,1
"ZNF846","0.269996642880501","33.6623431773825","34.4772142153672",0.390484587278202,1
"FBXL12","0.0275706673697886","17.0409657948918","17.6617756200932",0.0618939330041713,1
"UBL5","2.69207234109348e-07","59.6028554109176","49.1086442775999",4.00328000415205e-06,0.00377509304391539
"PIN1","2.36867169409858e-08","104.365853371668","92.1251119126915",5.80697258152874e-07,0.000332158831663444
"OLFM2","0.632751812477607","38.7169768085379","38.1642674067294",0.735986648220797,1
"COL5A3","0.624483047013356","16.1528440786454","16.6797177598818",0.729092146221654,1
"SHFL","0.823658677161788","32.2789701235552","32.0166223504648",0.881826662837055,1
"PPAN","0.32309715383599","6.72394624980376","6.46940565902669",0.448370686331641,1
"P2RY11","0.134533209180913","8.53123187882777","9.05678499565154",0.22448348314421,1
