GENE_SYMBOLS,refseq_ids
NME1,NM_000269
NME2,NM_001018137
MRPS23,NM_016070
SUPT4H1,NM_003168
PSMC5,NM_001199163
PRKAR1A,NM_001276289
RPL38,NM_000999
ATP5PD,NM_001003785
JPT1,NM_001002032
SUMO2,NM_001005849
MRPS7,NM_015971
WBP2,NM_001330499
NDUFAF8,NM_001086521
ACTG1,NM_001199954
OXLD1,NM_001039842
MCRIP1,NM_001093767
ALYREF,NM_005782
ANAPC11,NM_001002244
NPB,NM_148896
MAFG-DT,NA
CENPX,NM_001271006
RAC3,NM_001316307
DCXR,NM_001195218
MYL12B,NM_001144944
SNRPD1,NM_001291916
ATP5F1A,NM_001001935
C18orf32,NM_001035005
RPL17,NM_000985
NARS,NA
CNDP2,NM_001168499
TPGS1,NM_033513
POLR2E,NM_001316323
GPX4,NM_001039847
ATP5F1D,NM_001001975
FAM174C,NM_017914
RPS15,NM_001018
UQCR11,NM_006830
PLEKHJ1,NM_001300836
OAZ1,NM_001301020
LSM7,NM_016199
TIMM13,NM_012458
DIRAS1,NM_145173
SLC39A3,NM_144564
SMIM24,NM_001136503
MRPL54,NM_172251
MYDGF,NM_019107
RPL36,NM_015414
MICOS13,NM_001308240
NDUFA11,NM_001193375
ALKBH7,NM_032306
PET100,NM_001171155
TRAPPC5,NM_001042461
CLEC4G,NM_001244856
TGFBR3L,NM_001195259
CTXN1,NM_206833
NDUFA7,NM_005001
RPS28,NM_001031
UBL5,NM_001048241
PIN1,NM_006221
FDX2,NM_001031734
CDC37,NM_007065
CDKN2D,NM_001800
WDR83OS,NM_016145
DHPS,NM_001206974
TRIR,NM_001329738
GET3,NM_001371488
CALR,NM_004343
RAD23A,NM_001270362
GADD45GIP1,NM_052850
C19orf53,NM_014047
MISP3,NM_001291291
NDUFB7,NM_004146
FAM32A,NM_014077
OCEL1,NM_024578
NR2F6,NM_005234
MRPL34,NM_001382342
DDA1,NM_024050
RPL18A,NM_000980
MPV17L2,NM_032683
RAB3A,NM_002866
LSM4,NM_001252129
UBA52,NM_001033930
REX1BD,NM_001100418
BORCS8,NM_001145783
NDUFA13,NM_015965
UQCRFS1,NM_006003
POP4,NM_006627
CEBPA-DT,NR_026887
SCN1B,NM_001037
COX6B1,NM_001863
PSENEN,NM_001281532
HCST,NM_001007469
SDHAF1,NM_001042631
POLR2I,NM_006233
COX7A1,NM_001864
PSMD8,NM_002812
MRPS12,NM_021107
RPS16,NM_001020
DLL3,NM_016941
