GENE_SYMBOLS,refseq_ids
CPTP,NM_001029885
DNA2,NM_001080449
EID1,NM_014335
PCSK1,NM_000439
ANAPC15,NM_001278485
GPRASP2,NM_001004051
TCP1,NM_001008897
TSC22D3,NM_001015881
CRH,NM_000756
RTN4R,NM_023004
CTXN2,NM_001145668
LZTS1-AS1,NR_047509
ARL2BP,NM_012106
ARMT1,NM_001286562
LDHA,NM_001135239
GPR6,NM_001286099
MIEN1,NM_001330206
TESC-AS1,NR_120464
PNRC1,NM_006813
PRR13,NM_001005354
ACTC1,NM_001406482
ITM2B,NM_021999
ENDOG,NM_004435
ADAP1,NM_001284308
IRF2BPL,NM_024496
BMI1,NM_005180
CAPNS1,NM_001003962
CLU,NM_001831
MAP1S,NM_001308363
PRDM8,NM_001099403
VGF,NM_003378
CITED4,NM_133467
TCEAL2,NM_080390
GABARAPL2,NM_007285
ZC2HC1B,NM_001013623
FKBP8,NM_001308373
ZCCHC12,NM_001312891
TMEM141,NM_032928
ARPP19,NM_001306191
CHCHD2,NM_001320327
SRP14,NM_001309434
CHPF,NM_001195731
KRT5,NM_000424
SSNA1,NM_003731
NFKBIE,NM_004556
CCT7,NM_001009570
TMEM147,NM_001242597
DYNLL1,NM_001037494
GNG3,NM_012202
NXT1,NM_013248
PDP1,NM_001161778
IFIT1,NM_001270927
SYT12,NM_001177880
KCNV1,NM_014379
RASL10B,NM_033315
UQCRH,NM_001297565
MORF4L1,NM_001265603
JAKMIP1,NM_001099433
RNF208,NM_001388297
TMEM86A,NM_153347
OTUD1,NM_001145373
LHX6,NM_001242333
GCHFR,NM_005258
PRKAG2-AS1,NR_038926
H2AFZ,NA
BEX5,NM_001012978
KCNA2,NM_001204269
GAPDH,NM_001256799
RNF11,NM_014372
PABPC1L2B,NM_001042506
PJA1,NM_001032396
RIOX1,NM_024644
WDR82,NM_025222
AJM1,NM_001080482
EPDR1,NM_001242946
DCDC2,NM_001195610
KCNA5,NM_002234
DNAJA2,NM_005880
TIGD3,NM_145719
NEURL3,NM_001080535
ESS2,NM_022719
POLR3K,NM_016310
TMEM47,NM_031442
EXOSC4,NM_019037
PRDM6,NM_001136239
DDX28,NM_018380
PRDX3,NM_001302272
NLRP1,NM_001033053
SF3B5,NM_031287
CALHM1,NM_001001412
KCNS1,NM_001322799
MRPS24,NM_032014
CBR3-AS1,NR_038892
LSM10,NM_032881
MEOX2,NM_005924
KCTD12,NM_138444
FASTKD5,NM_021826
CRIM1-DT,NR_037631
CD81,NM_001297649
ADRA1D,NM_000678
CFC1,NM_001270420
AMIGO2,NM_001143668
HHLA2,NM_001282556
MRPL20-AS1,NR_015434
NAXE,NM_144772
C1QTNF4,NM_031909
PPP2R1A,NM_001363656
FRMD6-AS1,NR_037676
STUM,NM_001003665
BTG1,NM_001731
PEG10,NM_001040152
LRRC29,NA
DOC2B,NM_003585
NACAD,NM_001146334
CLIP3,NM_001199570
ARHGEF25,NM_001111270
GAL3ST3,NM_033036
TRPC7,NM_001167576
TUNAR,NM_001416131
ADCYAP1,NM_001099733
DOLK,NM_014908
ANAPC13,NM_001242374
NUDT16L1,NM_001193452
SBDS,NM_016038
RTL8B,NM_001078173
LRRC61,NM_001142928
MAD2L1BP,NM_001003690
SURF2,NM_001278928
MYL12B,NM_001144944
DLL3,NM_016941
MLF2,NM_001382225
H3F3A,NA
MEG9,NR_047664
TCEAL6,NM_001006938
TRAPPC5,NM_001042461
HSP90AB1,NM_001271969
INAFM1,NM_178511
PUF60,NM_001136033
HEXIM1,NM_006460
SHANK1,NM_016148
GALNT14,NM_001253826
PCBD1,NM_000281
FIGNL2,NM_001013690
BANF1,NM_001143985
EEF1A1,NM_001402
PAFAH1B3,NM_001145939
RASD2,NM_001366725
NECTIN1-AS1,NR_183634
STMN1,NM_001145454
PPP2CA,NM_001355019
TUBB4B,NM_006088
CALY,NM_001321617
TIMM10,NM_012456
LY6H,NM_001130478
NUDT3,NM_006703
RTL1,NM_001134888
CSNK2B,NM_001282385
SATB1-AS1,NR_125803
ZNF10,NM_015394
SCN1B,NM_001037
TCEAL1,NM_001006639
KLF16,NM_031918
LMNB1-DT,NR_134485
SLC24A1,NM_001254740
CDKL1,NM_001282236
SST,NM_001048
RPL18,NM_000979
KIF9,NM_001134878
STARD10,NM_006645
EIF5A2,NM_020390
AASDHPPT,NM_015423
C1QBP,NM_001212
NEFH,NM_021076
EPHB3,NM_004443
CCDC65,NM_001286957
BDH1,NM_004051
HAAO,NM_012205
ZFAND5,NM_001102420
LAMP5,NM_001199897
INSYN1,NM_001039614
BHLHE22,NM_152414
BNIP3,NM_004052
PRDX5,NM_001358511
TOMM34,NM_006809
TOMM5,NM_001001790
INKA1,NM_001366281
ALDOC,NM_005165
PRXL2B,NM_001195736
HERPUD1,NM_001010989
ARSG,NM_001267727
METTL26,NM_001040160
APLP1,NM_001024807
NR1D1,NM_021724
IL1RL2,NM_001351446
PEX12,NM_000286
COL26A1,NM_001278563
LRRC24,NM_001024678
SMIM18,NM_001206847
NPTXR,NM_014293
SCG2,NM_003469
GABRG3-AS1,NR_120343
FFAR4,NM_001195755
RAI1-AS1,NR_130894
EXOC3-AS1,NM_138464
STX1B,NM_052874
PRR36,NM_001080403
CALR,NM_004343
FRMD6-AS2,NR_047477
GPR88,NM_022049
INA,NM_032727
COL18A1-AS1,NM_199175
RHOV,NM_133639
FER1L5,NM_001077400
CENPX,NM_001271006
CUTA,NM_001014433
CDIP1,NM_001199054
SEC14L4,NM_001161368
EFCAB8,NM_001143967
LOR,NA
SAMD12-AS1,NR_038210
VSTM2A,NM_001301009
UNC119,NM_001330166
CBLN1,NM_004352
MAD2L1,NM_002358
MRPL44,NM_022915
PCDH8,NM_002590
TRMT112,NM_001286082
CHMP1B,NM_020412
ZCCHC3,NM_033089
IGFBP3,NM_000598
NEURL1-AS1,NR_120675
QPCT,NM_012413
MAGEL2,NM_019066
ZNF680,NM_001130022
EPN3,NM_017957
MRPL40,NM_001318151
DCK,NM_000788
STARD4-AS1,NR_040093
NDUFB10,NM_004548
RTP1,NM_153708
PPP1R9B,NM_032595
Z82217.1,NA
KCNS2,NM_020697
OGG1,NM_001354648
SOWAHB,NM_001029870
PCBP1,NM_006196
JUND,NM_001286968
SLC32A1,NM_080552
SHANK2-AS1,NR_046567
ASPHD2,NM_020437
BBS10,NM_024685
HSP90AA1,NM_001017963
C8orf89,NM_001243237
THAP10,NM_020147
DUSP4,NM_001394
IGSF21-AS1,XR_001737917
CD83,NM_001040280
SLC17A7,NM_020309
CHGA,NM_001275
RBKS,NM_001287580
TRIM28,NM_005762
ZNF860,NM_001137674
CELF2-AS2,NR_046108
DYNLRB1,NM_001319157
ATP8B1,NM_001374385
KIAA1614-AS1,NR_145481
HINT1,NM_005340
CLDN9,NM_020982
DRD1,NM_000794
MYCL,NM_001033081
COX4I1,NM_001318786
RCN1,NM_002901
BCL2L14,NM_001370268
C17orf78,NM_001321399
ATOH7,NM_145178
CRIP2,NM_001270837
PGLYRP1,NM_005091
IFIT5,NM_012420
CFL2,NM_001243645
UQCR10,NM_001003684
GPC6-AS2,NR_046536
IGF1,NM_000618
HSF5,NM_001080439
NOCT,NM_012118
RPS5,NM_001009
DCTN3,NM_001281425
RPS19BP1,NM_194326
HRH3,NM_007232
TICAM2,NM_021649
LDB1,NM_001113407
GADD45GIP1,NM_052850
DIRAS2,NM_017594
ERFE,NM_001291832
WASF3-AS1,NA
NPTN-IT1,NR_103844
PSMB6,NM_001270481
SMIM10L2A,NM_203306
TPBGL,NM_001195528
SHMT2,NM_001166356
C8orf34-AS1,NR_038877
SLC25A15,NM_014252
NCKAP5-AS2,NR_110294
ZPBP,NM_001159878
RND2,NM_005440
CYP26B1,NM_001277742
HMGB3,NM_001301228
CBR3,NM_001236
OPCML-IT1,NR_046790
RASD1,NM_001199989
MMP15,NM_002428
C19orf53,NM_014047
TAGLN3,NM_001008272
ADRA2C,NM_000683
OR9Q1,NM_001005212
SPR,NM_003124
TMEM97,NM_014573
RPL7A,NM_000972
TUBB2A,NM_001069
LAMB3,NM_000228
MRPL12,NM_002949
DNAJC3-DT,NR_132117
CFAP46,NM_001200049
TMEM200C,NM_001080209
MAGEE2,NM_138703
ACTB,NM_001101
CENPJ,NM_018451
FDXACB1,NM_138378
EIF5A,NM_001143760
PTRHD1,NM_001013663
DLGAP4-AS1,NR_109939
BHLHE40,NM_003670
WFS1,NM_001145853
LKAAEAR1,NM_001007125
LSR,NM_001260489
PHLDB2,NM_001134437
MRAP,NM_001285394
ST20-AS1,NM_175898
POLR2I,NM_006233
KDELR3,NM_006855
HSPA8,NM_006597
PIPOX,NM_016518
NOP10,NM_018648
CFAP57,NM_001167965
RTN4RL2,NM_178570
SLC13A3,NM_001011554
SCGN,NM_006998
LARGE-AS1,NR_038949
SERF2,NM_001018108
NDUFC2,NM_001204054
RHOBTB3,NM_014899
UBL7,NM_001286739
TMEM184A,NM_001097620
Z98885.3,NA
SLC51A,NM_152672
SSUH2,NM_001256748
NSMCE3,NM_138704
RGS8,NM_001102450
